"scenario_key","scope_label","block","root_kind","family","tau_label","fit_size","prior_semantics","inference","gate_overall.al","healthy.al","gate_rank_num.al","runtime_sec.al","selected_pool.al","selected_candidate.al","gate_overall.exal","healthy.exal","gate_rank_num.exal","runtime_sec.exal","selected_pool.exal","selected_candidate.exal","gate_delta_exal_minus_al","gate_comparison","runtime_ratio_exal_over_al","faster_method"
"static_shrink::laplace::0p25::100::rhs","root__static_shrink__laplace__tau_0p25__tt_100__rhs","static_shrink","static_shrink","laplace","0p25",100,"rhs","vb","PASS",TRUE,1,,"baseline_original","baseline","WARN",TRUE,2,13.768,"static_refresh_compact","rhsns_impl_refresh_20260329",-1,"al_better",,
"static_shrink::laplace::0p25::100::ridge","root__static_shrink__laplace__tau_0p25__tt_100__ridge","static_shrink","static_shrink","laplace","0p25",100,"ridge","mcmc","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,52.19,"hybrid_291_selection","F080_sub2_s105",0,"tie",,
"static_shrink::laplace::0p25::100::ridge","root__static_shrink__laplace__tau_0p25__tt_100__ridge","static_shrink","static_shrink","laplace","0p25",100,"ridge","vb","PASS",TRUE,1,,"baseline_original","baseline","WARN",TRUE,2,13.751,"static_refresh_compact","rhsns_impl_refresh_20260329",-1,"al_better",,
"static_shrink::laplace::0p25::1000::rhs","root__static_shrink__laplace__tau_0p25__tt_1000__rhs","static_shrink","static_shrink","laplace","0p25",1000,"rhs","mcmc","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,65.636,"syncedbase_residual_repair_20260407","row_0236",0,"tie",,
"static_shrink::laplace::0p25::1000::rhs","root__static_shrink__laplace__tau_0p25__tt_1000__rhs","static_shrink","static_shrink","laplace","0p25",1000,"rhs","vb","PASS",TRUE,1,,"baseline_original","baseline","WARN",TRUE,2,16.372,"static_refresh_compact","rhsns_impl_refresh_20260329",-1,"al_better",,
"static_shrink::laplace::0p25::1000::ridge","root__static_shrink__laplace__tau_0p25__tt_1000__ridge","static_shrink","static_shrink","laplace","0p25",1000,"ridge","mcmc","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,55.318,"syncedbase_faithful_replay_20260407","row_0200",0,"tie",,
"static_shrink::laplace::0p25::1000::ridge","root__static_shrink__laplace__tau_0p25__tt_1000__ridge","static_shrink","static_shrink","laplace","0p25",1000,"ridge","vb","PASS",TRUE,1,,"baseline_original","baseline","WARN",TRUE,2,16.185,"static_refresh_compact","rhsns_impl_refresh_20260329",-1,"al_better",,
"static_shrink::laplace::0p95::100::rhs","root__static_shrink__laplace__tau_0p95__tt_100__rhs","static_shrink","static_shrink","laplace","0p95",100,"rhs","mcmc","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,51.846,"hybrid_291_selection","F080_sub2_s105",0,"tie",,
"static_shrink::laplace::0p95::100::rhs","root__static_shrink__laplace__tau_0p95__tt_100__rhs","static_shrink","static_shrink","laplace","0p95",100,"rhs","vb","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,6.31,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",,
"static_shrink::laplace::0p95::100::ridge","root__static_shrink__laplace__tau_0p95__tt_100__ridge","static_shrink","static_shrink","laplace","0p95",100,"ridge","mcmc","PASS",TRUE,1,6.638,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,1,53.852,"hybrid_291_selection","F080_sub2_s105",0,"tie",8.112685,"al"
"static_shrink::laplace::0p95::100::ridge","root__static_shrink__laplace__tau_0p95__tt_100__ridge","static_shrink","static_shrink","laplace","0p95",100,"ridge","vb","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,6.343,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",,
"static_shrink::laplace::0p95::1000::rhs","root__static_shrink__laplace__tau_0p95__tt_1000__rhs","static_shrink","static_shrink","laplace","0p95",1000,"rhs","mcmc","PASS",TRUE,1,,"baseline_original","baseline","WARN",TRUE,2,148.112,"static_refresh_compact","rhs_legacy_refresh_20260329",-1,"al_better",,
"static_shrink::laplace::0p95::1000::rhs","root__static_shrink__laplace__tau_0p95__tt_1000__rhs","static_shrink","static_shrink","laplace","0p95",1000,"rhs","vb","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,11.39,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",,
"static_shrink::laplace::0p95::1000::ridge","root__static_shrink__laplace__tau_0p95__tt_1000__ridge","static_shrink","static_shrink","laplace","0p95",1000,"ridge","mcmc","PASS",TRUE,1,10.493,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,1,61.591,"syncedbase_targeted_followup_20260407","row_0012",0,"tie",5.869723,"al"
"static_shrink::laplace::0p95::1000::ridge","root__static_shrink__laplace__tau_0p95__tt_1000__ridge","static_shrink","static_shrink","laplace","0p95",1000,"ridge","vb","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,11.213,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",,
"static_shrink::normal::0p05::100::rhs","root__static_shrink__normal__tau_0p05__tt_100__rhs","static_shrink","static_shrink","normal","0p05",100,"rhs","mcmc","PASS",TRUE,1,,"baseline_original","baseline","WARN",TRUE,2,,"baseline_original","baseline",-1,"al_better",,
