"base_row_id","original_case_key","block","family","tau_label","fit_size","prior_semantics","model","inference","selected_fit_exists","source_run_root_exists","series_wide_exists","selection_indices_exists","true_quantile_grid_exists","coef_truth_exists","materialized_sim_exists","data_ready","baseline_seed"
95,"static_paper::gausmix::0p95::1000::paper::exal::mcmc","static_paper","gausmix","0p95",1000,"paper","exal","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,217182
96,"static_paper::gausmix::0p95::1000::paper::exal::vb","static_paper","gausmix","0p95",1000,"paper","exal","vb",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,206866
97,"static_paper::laplace::0p05::100::paper::al::mcmc","static_paper","laplace","0p05",100,"paper","al","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,201879
98,"static_paper::laplace::0p05::100::paper::al::vb","static_paper","laplace","0p05",100,"paper","al","vb",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,192163
99,"static_paper::laplace::0p05::100::paper::exal::mcmc","static_paper","laplace","0p05",100,"paper","exal","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,212755
100,"static_paper::laplace::0p05::100::paper::exal::vb","static_paper","laplace","0p05",100,"paper","exal","vb",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,202639
101,"static_paper::laplace::0p05::1000::paper::al::mcmc","static_paper","laplace","0p05",1000,"paper","al","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,204968
102,"static_paper::laplace::0p05::1000::paper::al::vb","static_paper","laplace","0p05",1000,"paper","al","vb",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,195052
103,"static_paper::laplace::0p05::1000::paper::exal::mcmc","static_paper","laplace","0p05",1000,"paper","exal","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,216065
104,"static_paper::laplace::0p05::1000::paper::exal::vb","static_paper","laplace","0p05",1000,"paper","exal","vb",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,205749
105,"static_paper::laplace::0p25::100::paper::al::mcmc","static_paper","laplace","0p25",100,"paper","al","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,201931
106,"static_paper::laplace::0p25::100::paper::al::vb","static_paper","laplace","0p25",100,"paper","al","vb",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,192215
107,"static_paper::laplace::0p25::100::paper::exal::mcmc","static_paper","laplace","0p25",100,"paper","exal","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,212807
108,"static_paper::laplace::0p25::100::paper::exal::vb","static_paper","laplace","0p25",100,"paper","exal","vb",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,202691
109,"static_paper::laplace::0p25::1000::paper::al::mcmc","static_paper","laplace","0p25",1000,"paper","al","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,205020
110,"static_paper::laplace::0p25::1000::paper::al::vb","static_paper","laplace","0p25",1000,"paper","al","vb",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,195104
111,"static_paper::laplace::0p25::1000::paper::exal::mcmc","static_paper","laplace","0p25",1000,"paper","exal","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,216117
112,"static_paper::laplace::0p25::1000::paper::exal::vb","static_paper","laplace","0p25",1000,"paper","exal","vb",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,205801
113,"static_paper::laplace::0p95::100::paper::al::mcmc","static_paper","laplace","0p95",100,"paper","al","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,202113
114,"static_paper::laplace::0p95::100::paper::al::vb","static_paper","laplace","0p95",100,"paper","al","vb",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,192397
115,"static_paper::laplace::0p95::100::paper::exal::mcmc","static_paper","laplace","0p95",100,"paper","exal","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,212989
116,"static_paper::laplace::0p95::100::paper::exal::vb","static_paper","laplace","0p95",100,"paper","exal","vb",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,202873
117,"static_paper::laplace::0p95::1000::paper::al::mcmc","static_paper","laplace","0p95",1000,"paper","al","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,205202
118,"static_paper::laplace::0p95::1000::paper::al::vb","static_paper","laplace","0p95",1000,"paper","al","vb",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,195286
119,"static_paper::laplace::0p95::1000::paper::exal::mcmc","static_paper","laplace","0p95",1000,"paper","exal","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,216299
120,"static_paper::laplace::0p95::1000::paper::exal::vb","static_paper","laplace","0p95",1000,"paper","exal","vb",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,205983
121,"static_paper::normal::0p05::100::paper::al::mcmc","static_paper","normal","0p05",100,"paper","al","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,198101
122,"static_paper::normal::0p05::100::paper::al::vb","static_paper","normal","0p05",100,"paper","al","vb",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,188585
123,"static_paper::normal::0p05::100::paper::exal::mcmc","static_paper","normal","0p05",100,"paper","exal","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,208756
124,"static_paper::normal::0p05::100::paper::exal::vb","static_paper","normal","0p05",100,"paper","exal","vb",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,198840
125,"static_paper::normal::0p05::1000::paper::al::mcmc","static_paper","normal","0p05",1000,"paper","al","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,201142
126,"static_paper::normal::0p05::1000::paper::al::vb","static_paper","normal","0p05",1000,"paper","al","vb",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,191426
127,"static_paper::normal::0p05::1000::paper::exal::mcmc","static_paper","normal","0p05",1000,"paper","exal","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,212018
128,"static_paper::normal::0p05::1000::paper::exal::vb","static_paper","normal","0p05",1000,"paper","exal","vb",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,201902
129,"static_paper::normal::0p25::100::paper::al::mcmc","static_paper","normal","0p25",100,"paper","al","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,198151
130,"static_paper::normal::0p25::100::paper::al::vb","static_paper","normal","0p25",100,"paper","al","vb",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,188635
131,"static_paper::normal::0p25::100::paper::exal::mcmc","static_paper","normal","0p25",100,"paper","exal","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,208806
132,"static_paper::normal::0p25::100::paper::exal::vb","static_paper","normal","0p25",100,"paper","exal","vb",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,198890
133,"static_paper::normal::0p25::1000::paper::al::mcmc","static_paper","normal","0p25",1000,"paper","al","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,201192
134,"static_paper::normal::0p25::1000::paper::al::vb","static_paper","normal","0p25",1000,"paper","al","vb",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,191476
135,"static_paper::normal::0p25::1000::paper::exal::mcmc","static_paper","normal","0p25",1000,"paper","exal","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,212068
136,"static_paper::normal::0p25::1000::paper::exal::vb","static_paper","normal","0p25",1000,"paper","exal","vb",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,201952
137,"static_paper::normal::0p95::100::paper::al::mcmc","static_paper","normal","0p95",100,"paper","al","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,198326
138,"static_paper::normal::0p95::100::paper::al::vb","static_paper","normal","0p95",100,"paper","al","vb",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,188810
