"t","y","mu","q_true_05","q_true_50","q_true_95","q_syn_05","q_syn_50","q_syn_95","window","q_model_p005","q_model_p050","q_model_p095"
2568,-9.63949139692286,-14.7376267619969,-19.6960418836244,-14.7376267619969,-9.77921164036941,-19.3956190098779,-14.5651485444993,-9.77748764565971,"train",-19.3951516763932,-14.5513655531174,-10.6126386231014
2569,-15.8007765990484,-15.7210903194547,-20.6795053224148,-15.7210903194547,-10.7626753164946,-20.8695310365466,-15.6218631399347,-11.1190635080497,"train",-20.8254759645805,-15.626175409765,-11.21939603643
2570,-13.5335587298296,-16.1403168810072,-21.0987317653172,-16.1403168810072,-11.1819019966971,-21.6388699653888,-16.8062796765579,-11.1905116107577,"train",-21.650071096387,-16.8466084701729,-11.4564338626372
2571,-19.3463135078928,-15.9220600191738,-20.8804747848506,-15.9220600191738,-10.963645253497,-22.0491586336729,-16.7077965950374,-11.1019351130494,"train",-21.7760043230538,-16.7268658010451,-11.1948391015272
2572,-12.4181262098594,-15.1867743734307,-20.1451890204932,-15.1867743734307,-10.2283597263681,-21.2223062051629,-15.562408467418,-10.7192442942856,"train",-20.8544920468577,-15.5139958484856,-10.9055815464292
2573,-15.7430220774892,-13.885674100116,-18.8440886285884,-13.885674100116,-8.9272595716435,-19.7127731468606,-14.803034161761,-9.56404503816464,"train",-19.6049749746469,-14.6841607643292,-9.62533800786434
2574,-12.4076904695983,-12.2193337414275,-17.1777481513413,-12.2193337414275,-7.26091933151377,-17.9476222723891,-12.6662843676338,-7.68382089971805,"train",-17.705869973854,-12.6734651156015,-7.72354306936012
2575,-8.10254791980002,-10.2444894646377,-15.202903756033,-10.2444894646377,-5.28607517324238,-16.1824183391618,-10.952402711569,-5.83111943674098,"train",-16.1064118581542,-10.9545898544215,-6.06357832942265
2576,-11.4911868086726,-8.08630511101978,-13.0447192839468,-8.08630511101978,-3.12789093809276,-14.0427369707546,-8.80759122565615,-3.39084946969115,"train",-13.8061096246764,-8.82998162935922,-3.55383357286226
2577,-8.29664311709379,-5.95684564145771,-10.9152596959764,-5.95684564145771,-0.998431586938994,-11.6079453827569,-6.62068275476339,-1.14490985214981,"train",-11.3436152482758,-6.58820117337435,-1.64111439964599
